nom_fr,description,type_symptome,gravite_echelle_defaut,mots_cles_associes
Selles sanglantes,"Présence de sang dans les selles, souvent liée à une infection intestinale ou à une hémorragie digestive.",digestif,4,"sang dans les selles,diarrhée rouge,hémorragie intestinale,rectorragie"
Tension musculaire,"Rigidité ou contraction prolongée des muscles, souvent liée au stress ou à une infection.",général,2,"raideur,courbatures,contractures,douleur musculaire"
Troubles du sommeil,"Difficulté à s’endormir ou à maintenir le sommeil, souvent liée au stress ou à une maladie chronique.",neurologique,2,"insomnie,réveils nocturnes,sommeil agité,fatigue matinale"
Transpiration excessive,"Production anormale de sueur, souvent liée à la fièvre, au stress ou à une infection.",général,2,"sueurs abondantes,humidité corporelle,pyrexie,hyperhidrose"
Sensation de brûlure,"Douleur vive et localisée ressemblant à une brûlure, souvent liée à une infection ou une irritation.",général,3,"brûlure,irritation,douleur vive,peau chaude"
Douleur oculaire,"Douleur ressentie dans ou autour de l’œil, souvent liée à une infection ou à une tension visuelle.",ophtalmologique,3,"œil douloureux,pression oculaire,irritation,vision altérée"
Engourdissement,"Perte partielle de sensation dans une zone du corps, souvent liée à un trouble nerveux ou circulatoire.",neurologique,3,"fourmillements,sensation réduite,zone insensible,paresthésie"
Palpitations,"Perception anormale ou accélérée des battements du cœur, souvent liée au stress ou à une pathologie cardiaque.",cardiaque,3,"battements rapides,rythme irrégulier,coeur qui tape,tachycardie"
Sensation de froid,"Perception excessive du froid malgré une température ambiante normale, souvent liée à une infection ou une anémie.",général,2,"frissons,température basse,peau froide,sensibilité au froid"
Douleur lombaire,"Douleur localisée dans le bas du dos, souvent liée à une tension musculaire ou à une pathologie vertébrale.",musculosquelettique,2,"mal de dos,raideur lombaire,tension,position douloureuse"
Douleur cervicale,"Douleur ressentie dans la nuque, souvent liée à une mauvaise posture ou à une infection.",musculosquelettique,2,"raideur du cou,tension cervicale,douleur localisée,immobilité"
Douleur à la mâchoire,"Douleur ressentie dans la région mandibulaire, souvent liée à une infection ou à une tension musculaire.",musculosquelettique,3,"mâchoire douloureuse,pression mandibulaire,douleur faciale,blocage"
Douleur à la déglutition,"Douleur ressentie lors de l’ingestion d’aliments ou de liquides, souvent liée à une infection ORL.",digestif,3,"gorge douloureuse,déglutition difficile,irritation,amygdales"
Douleur à l’effort,"Douleur qui apparaît ou s’intensifie lors d’une activité physique, souvent liée à une pathologie cardiaque ou musculaire.",cardiaque,4,"douleur à l’exercice,essoufflement,pression thoracique,fatigue à l’effort"
Douleur diffuse,"Douleur généralisée sans localisation précise, souvent liée à une infection virale ou à une fatigue chronique.",général,2,"douleur généralisée,mal partout,faiblesse,tension corporelle"
Douleur intense,"Douleur très forte et localisée, souvent liée à une infection aiguë ou à une blessure.",général,4,"douleur aiguë,forte douleur,urgence,crise"
Douleur pulsatile,"Douleur rythmée en battements, souvent liée à une infection ou à une inflammation locale.",général,3,"douleur en battements,pulsation,pression localisée,inflammation"
Douleur sourde,"Douleur constante mais modérée, souvent liée à une affection chronique ou à une tension musculaire.",général,2,"douleur persistante,pression légère,inconfort,tension"
Douleur brûlante,"Douleur vive ressemblant à une brûlure, souvent liée à une infection ou à une irritation nerveuse.",neurologique,3,"brûlure,irritation,douleur vive,nerfs"
Douleur piquante,"Douleur brève et localisée comme une piqûre, souvent liée à une lésion cutanée ou nerveuse.",général,2,"picotement,douleur aiguë,piqûre,irritation"
Douleur pelvienne cyclique,"Douleur qui revient à chaque cycle menstruel, souvent liée à une affection gynécologique.",gynécologique,3,"douleur menstruelle,cycle,bas-ventre,endométriose"
Douleur rectale,"Douleur ressentie au niveau du rectum, souvent liée à une infection ou à une hémorroïde.",digestif,3,"rectum,douleur à la selle,pression anale,inflammation"
Douleur urinaire,"Douleur ressentie pendant la miction, souvent liée à une infection urinaire.",urinaire,3,"miction douloureuse,brûlure,urines chaudes,infection"
Douleur thoracique gauche,"Douleur localisée à gauche de la poitrine, souvent suspecte d’origine cardiaque.",cardiaque,4,"douleur cardiaque,poitrine gauche,pression thoracique,urgence"
Douleur thoracique droite,"Douleur localisée à droite de la poitrine, souvent liée à une affection pulmonaire ou musculaire.",respiratoire,3,"douleur pulmonaire,poitrine droite,tension musculaire,respiration"
Douleur oculaire profonde,"Douleur ressentie à l’intérieur de l’œil, souvent liée à une infection ou à une pression intraoculaire.",ophtalmologique,4,"pression oculaire,douleur intense,glaucome,inflammation"
Douleur mammaire,"Douleur ressentie dans un ou les deux seins, souvent liée à des changements hormonaux ou à une infection.",gynécologique,2,"sein douloureux,sensibilité mammaire,inflammation,masse"
Douleur testiculaire,"Douleur ressentie dans les testicules, souvent liée à une infection ou à un traumatisme.",génital,3,"testicule douloureux,gonflement,fièvre,traumatisme"
Douleur à l’oreille,"Douleur ressentie dans ou autour de l’oreille, souvent liée à une infection ou à une inflammation.",ORL,2,"otalgie,oreille douloureuse,écoulement,fièvre"
Écoulement nasal,"Flux de liquide par le nez, souvent lié à une infection ou à une allergie.",ORL,1,"nez qui coule,rhinorrhée,liquide nasal,allergie"
Éternuements fréquents,"Expulsions d’air soudaines par le nez, souvent liées à une allergie ou une infection virale.",ORL,1,"éternuements,réaction allergique,poussière,irritation"
Perte d’odorat,"Diminution ou disparition de la capacité à percevoir les odeurs, souvent liée à une infection virale.",neurologique,2,"anosmie,nez bouché,perte sensorielle,infection"
Perte de goût,"Diminution ou disparition de la capacité à percevoir les saveurs, souvent liée à une infection virale.",neurologique,2,"agueusie,bouche insensible,perte sensorielle,infection"
Sensation de gorge sèche,"Impression de sécheresse dans la gorge, souvent liée à une déshydratation ou une infection.",ORL,1,"gorge sèche,déshydratation,irritation,soif"
Sensation de gorge serrée,"Impression de constriction dans la gorge, souvent liée à une réaction allergique ou au stress.",ORL,3,"gorge bloquée,difficulté à respirer,angoisse,allergie"
Sensation de boule dans la gorge,"Impression d’un corps étranger dans la gorge, souvent liée à un reflux ou à une tension musculaire.",digestif,2,"gêne pharyngée,reflux,stress,tension"
Sensation de brûlure gastrique,"Douleur brûlante dans l’estomac, souvent liée à un reflux acide ou à une gastrite.",digestif,3,"reflux,acidité,brûlure estomac,douleur épigastrique"
Ballonnements,"Sensation de gonflement abdominal, souvent liée à une digestion difficile ou à une infection.",digestif,2,"ventre gonflé,flatulences,inconfort abdominal,distension"
Flatulences excessives,"Émission fréquente de gaz intestinaux, souvent liée à une fermentation ou à une infection digestive.",digestif,1,"gaz,ballonnements,fermentation,aliments"
Constipation,"Difficulté ou rareté des selles, souvent liée à une alimentation pauvre en fibres ou à une déshydratation.",digestif,2,"selles dures,effort à la selle,absence de selles,inconfort"
Selles liquides,"Évacuation de selles très fluides, souvent liée à une infection ou à une intoxication alimentaire.",digestif,3,"diarrhée,selles aqueuses,déshydratation,infection"
Selles décolorées,"Selles de couleur pâle ou blanche, souvent liées à une atteinte hépatique ou biliaire.",digestif,3,"selles claires,bilirubine,foie,vésicule"
Selles noires,"Selles très foncées, souvent liées à une hémorragie digestive ou à la prise de médicaments.",digestif,4,"méléna,sang digéré,fer,médicaments"
Selles malodorantes,"Odeur très forte des selles, souvent liée à une infection ou à une mauvaise digestion.",digestif,2,"odeur forte,selles fétides,infection,digestion"
Douleur à la défécation,"Douleur ressentie lors de l’évacuation des selles, souvent liée à une fissure ou à une hémorroïde.",digestif,3,"selle douloureuse,rectum,fissure,hémorroïde"
Douleur à la miction,"Douleur ressentie lors de l’émission d’urine, souvent liée à une infection urinaire.",urinaire,3,"brûlure urinaire,infection,urines chaudes,miction difficile"
Urines sanglantes,"Présence de sang dans les urines, souvent liée à une infection ou à une lésion rénale.",urinaire,4,"hématurie,sang dans les urines,infection,traumatisme"
Urines troubles,"Aspect opaque ou laiteux des urines, souvent lié à une infection ou à une déshydratation.",urinaire,2,"urines opaques,infection,déshydratation,protéines"
Besoin fréquent d’uriner,"Envie d’uriner très souvent, souvent liée à une infection ou à un diabète.",urinaire,2,"pollakiurie,miction fréquente,infection,diabète"
Rétention urinaire,"Difficulté ou impossibilité d’uriner, souvent liée à une obstruction ou à une atteinte neurologique.",urinaire,4,"blocage urinaire,vessie pleine,obstruction,neuropathie"
Douleur menstruelle,"Douleur ressentie pendant les règles, souvent liée à une affection gynécologique.",gynécologique,3,"crampes menstruelles,cycle douloureux,endométriose,bas-ventre"
Règles abondantes,"Flux menstruel très important, souvent lié à un déséquilibre hormonal ou à une pathologie utérine.",gynécologique,3,"ménorragie,sang abondant,cycle long,fatigue"
Règles irrégulières,"Cycles menstruels imprévisibles ou espacés, souvent liés à un trouble hormonal.",gynécologique,2,"cycle irrégulier,hormones,stress,ovulation"
Douleur pendant les rapports,"Douleur ressentie pendant les rapports sexuels, souvent liée à une infection ou à une affection gynécologique.",gynécologique,3,"dyspareunie,inconfort intime,infection,stress"
Écoulement vaginal anormal,"Pertes vaginales inhabituelles en couleur, odeur ou quantité, souvent liées à une infection.",gynécologique,3,"leucorrhée,pertes épaisses,odeur forte,infection"
Écoulement urétral,"Écoulement par l’urètre chez l’homme, souvent lié à une infection sexuellement transmissible.",génital,3,"pus urétral,écoulement blanc,infection,IST"
Douleur à l’éjaculation,"Douleur ressentie lors de l’éjaculation, souvent liée à une infection ou à une inflammation.",génital,3,"éjaculation douloureuse,prostate,infection,brûlure"
Douleur à l’ovulation,"Douleur ressentie au moment de l’ovulation, souvent liée à des changements hormonaux.",gynécologique,2,"milieu de cycle,douleur ovarienne,ovulation,crampe"
Douleur à la marche,"Douleur ressentie en se déplaçant, souvent liée à une atteinte articulaire ou musculaire.",musculosquelettique,3,"boiterie,douleur articulaire,effort,raideur"
Douleur au repos,"Douleur présente même sans activité, souvent liée à une affection chronique ou inflammatoire.",général,3,"douleur persistante,inflammation,repos,tension"
Douleur nocturne,"Douleur qui apparaît ou s’intensifie la nuit, souvent liée à une infection ou à une pathologie chronique.",général,3,"douleur nocturne,sommeil perturbé,infection,crise"
Douleur migrante,"Douleur qui change de localisation au fil du temps, souvent liée à une affection systémique.",général,2,"douleur changeante,erratique,inflammation,système"
Douleur localisée,"Douleur bien définie dans une zone précise, souvent liée à une lésion ou une infection.",général,2,"douleur ciblée,zone douloureuse,infection,traumatisme"
Douleur généralisée,"Douleur ressentie dans tout le corps, souvent liée à une infection virale ou à une fatigue chronique.",général,2,"douleur corporelle,fatigue,mal partout,infection"
Douleur intense,"Douleur très forte et localisée, souvent liée à une infection aiguë ou à une blessure.",général,4,"douleur aiguë,forte douleur,urgence,crise"
Douleur pulsatile,"Douleur rythmée en battements, souvent liée à une infection ou à une inflammation locale.",général,3,"douleur en battements,pulsation,pression localisée,inflammation"
Douleur sourde,"Douleur constante mais modérée, souvent liée à une affection chronique ou à une tension musculaire.",général,2,"douleur persistante,pression légère,inconfort,tension"
Douleur brûlante,"Douleur vive ressemblant à une brûlure, souvent liée à une infection ou à une irritation nerveuse.",neurologique,3,"brûlure,irritation,douleur vive,nerfs"
Douleur piquante,"Douleur brève et localisée comme une piqûre, souvent liée à une lésion cutanée ou nerveuse.",général,2,"picotement,douleur aiguë,piqûre,irritation"
Douleur pelvienne cyclique,"Douleur qui revient à chaque cycle menstruel, souvent liée à une affection gynécologique.",gynécologique,3,"douleur menstruelle,cycle,bas-ventre,endométriose"
Douleur rectale,"Douleur ressentie au niveau du rectum, souvent liée à une infection ou à une hémorroïde.",digestif,3,"rectum,douleur à la selle,pression anale,inflammation"
Douleur urinaire,"Douleur ressentie pendant la miction, souvent liée à une infection urinaire.",urinaire,3,"miction douloureuse,brûlure,urines chaudes,infection"
Douleur thoracique gauche,"Douleur localisée à gauche de la poitrine, souvent suspecte d’origine cardiaque.",cardiaque,4,"douleur cardiaque,poitrine gauche,pression thoracique,urgence"
Douleur thoracique droite,"Douleur localisée à droite de la poitrine, souvent liée à une affection pulmonaire ou musculaire.",respiratoire,3,"douleur pulmonaire,poitrine droite,tension musculaire,respiration"
Douleur oculaire profonde,"Douleur ressentie à l’intérieur de l’œil, souvent liée à une infection ou à une pression intraoculaire.",ophtalmologique,4,"pression oculaire,douleur intense,glaucome,inflammation"
Douleur mammaire,"Douleur ressentie dans un ou les deux seins, souvent liée à des changements hormonaux ou à une infection.",gynécologique,2,"sein douloureux,sensibilité mammaire,inflammation,masse"
Douleur testiculaire,"Douleur ressentie dans les testicules, souvent liée à une infection ou à un traumatisme.",génital,3,"testicule douloureux,gonflement,fièvre,traumatisme"
Douleur à l’oreille,"Douleur ressentie dans ou autour de l’oreille, souvent liée à une infection ou à une inflammation.",ORL,2,"otalgie,oreille douloureuse,écoulement,fièvre"
Écoulement nasal,"Flux de liquide par le nez, souvent lié à une infection ou à une allergie.",ORL,1,"nez qui coule,rhinorrhée,liquide nasal,allergie"
Éternuements fréquents,"Expulsions d’air soudaines par le nez, souvent liées à une allergie ou une infection virale.",ORL,1,"éternuements,réaction allergique,poussière,irritation"
Perte d’odorat,"Diminution ou disparition de la capacité à percevoir les odeurs, souvent liée à une infection virale.",neurologique,2,"anosmie,nez bouché,perte sensorielle,infection"
Perte de goût,"Diminution ou disparition de la capacité à percevoir les saveurs, souvent liée à une infection virale.",neurologique,2,"agueusie,bouche insensible,perte sensorielle,infection"
Sensation de gorge sèche,"Impression de sécheresse dans la gorge, souvent liée à une déshydratation ou une infection.",ORL,1,"gorge sèche,déshydratation,irritation,soif"
Sensation de gorge serrée,"Impression de constriction dans la gorge, souvent liée à une réaction allergique ou au stress.",ORL,3,"gorge bloquée,difficulté à respirer,angoisse,allergie"
Sensation de boule dans la gorge,"Impression d’un corps étranger dans la gorge, souvent liée à un reflux ou à une tension musculaire.",digestif,2,"gêne pharyngée,reflux,stress,tension"
Sensation de brûlure gastrique,"Douleur brûlante dans l’estomac, souvent liée à un reflux acide ou à une gastrite.",digestif,3,"reflux,acidité,brûlure estomac,douleur épigastrique"
Ballonnements,"Sensation de gonflement abdominal, souvent liée à une digestion difficile ou à une infection.",digestif,2,"ventre gonflé,flatulences,inconfort abdominal,distension"
Flatulences excessives,"Émission fréquente de gaz intestinaux, souvent liée à une fermentation ou à une infection digestive.",digestif,1,"gaz,ballonnements,fermentation,aliments"
Constipation,"Difficulté ou rareté des selles, souvent liée à une alimentation pauvre en fibres ou à une déshydratation.",digestif,2,"selles dures,effort à la selle,absence de selles,inconfort"
Selles liquides,"Évacuation de selles très fluides, souvent liée à une infection ou à une intoxication alimentaire.",digestif,3,"diarrhée,selles aqueuses,déshydratation,infection"
Selles décolorées,"Selles de couleur pâle ou blanche, souvent liées à une atteinte hépatique ou biliaire.",digestif,3,"selles claires,bilirubine,foie,vésicule"
Selles noires,"Selles très foncées, souvent liées à une hémorragie digestive ou à la prise de médicaments.",digestif,4,"méléna,sang digéré,fer,médicaments"
Selles malodorantes,"Odeur très forte des selles, souvent liée à une infection ou à une mauvaise digestion.",digestif,2,"odeur forte,selles fétides,infection,digestion"
Douleur à la défécation,"Douleur ressentie lors de l’évacuation des selles, souvent liée à une fissure ou à une hémorroïde.",digestif,3,"selle douloureuse,rectum,fissure,hémorroïde"
Douleur à la miction,"Douleur ressentie lors de l’émission d’urine, souvent liée à une infection urinaire.",urinaire,3,"brûlure urinaire,infection,urines chaudes,miction difficile"
Urines sanglantes,"Présence de sang dans les urines, souvent liée à une infection ou à une lésion rénale.",urinaire,4,"hématurie,sang dans les urines,infection,traumatisme"
Urines troubles,"Aspect opaque ou laiteux des urines, souvent lié à une infection ou à une déshydratation.",urinaire,2,"urines opaques,infection,déshydratation,protéines"
Besoin fréquent d’uriner,"Envie d’uriner très souvent, souvent liée à une infection ou à un diabète.",urinaire,2,"pollakiurie,miction fréquente,infection,diabète"
Rétention urinaire,"Difficulté ou impossibilité d’uriner, souvent liée à une obstruction ou à une atteinte neurologique.",urinaire,4,"blocage urinaire,vessie pleine,obstruction,neuropathie"
Douleur menstruelle,"Douleur ressentie pendant les règles, souvent liée à une affection gynécologique.",gynécologique,3,"crampes menstruelles,cycle douloureux,endométriose,bas-ventre"
Règles abondantes,"Flux menstruel très important, souvent lié à un déséquilibre hormonal ou à une pathologie utérine.",gynécologique,3,"ménorragie,sang abondant,cycle long,fatigue"
Règles irrégulières,"Cycles menstruels imprévisibles ou espacés, souvent liés à un trouble hormonal.",gynécologique,2,"cycle irrégulier,hormones,stress,ovulation"
Douleur pendant les rapports,"Douleur ressentie pendant les rapports sexuels, souvent liée à une infection ou à une affection gynécologique.",gynécologique,3,"dyspareunie,inconfort intime,infection,stress"
Écoulement vaginal anormal,"Pertes vaginales inhabituelles en couleur, odeur ou quantité, souvent liées à une infection.",gynécologique,3,"leucorrhée,pertes épaisses,odeur forte,infection"
Écoulement urétral,"Écoulement par l’urètre chez l’homme, souvent lié à une infection sexuellement transmissible.",génital,3,"pus urétral,écoulement blanc,infection,IST"
Douleur à l’éjaculation,"Douleur ressentie lors de l’éjaculation, souvent liée à une infection ou à une inflammation.",génital,3,"éjaculation douloureuse,prostate,infection,brûlure"
Douleur à l’ovulation,"Douleur ressentie au moment de l’ovulation, souvent liée à des changements hormonaux.",gynécologique,2,"milieu de cycle,douleur ovarienne,ovulation,crampe"
Douleur à la marche,"Douleur ressentie en se déplaçant, souvent liée à une atteinte articulaire ou musculaire.",musculosquelettique,3,"boiterie,douleur articulaire,effort,raideur"
Douleur au repos,"Douleur présente même sans activité, souvent liée à une affection chronique ou inflammatoire.",général,3,"douleur persistante,inflammation,repos,tension"
Douleur nocturne,"Douleur qui apparaît ou s’intensifie la nuit, souvent liée à une infection ou à une pathologie chronique.",général,3,"douleur nocturne,sommeil perturbé,infection,crise"
Douleur migrante,"Douleur qui change de localisation au fil du temps, souvent liée à une affection systémique.",général,2,"douleur changeante,erratique,inflammation,système"
Douleur localisée,"Douleur bien définie dans une zone précise, souvent liée à une lésion ou une infection.",général,2,"douleur ciblée,zone douloureuse,infection,traumatisme"
Douleur généralisée,"Douleur ressentie dans tout le corps, souvent liée à une infection virale ou à une fatigue chronique.",général,2,"douleur corporelle,fatigue,mal partout,infection"
Douleur intense,"Douleur très forte et localisée, souvent liée à une infection aiguë ou à une blessure.",général,4,"douleur aiguë,forte douleur,urgence,crise"
Douleur pulsatile,"Douleur rythmée en battements, souvent liée à une infection ou à une inflammation locale.",général,3,"douleur en battements,pulsation,pression localisée,inflammation"
Douleur sourde,"Douleur constante mais modérée, souvent liée à une affection chronique ou à une tension musculaire.",général,2,"douleur persistante,pression légère,inconfort,tension"
Douleur brûlante,"Douleur vive ressemblant à une brûlure, souvent liée à une infection ou à une irritation nerveuse.",neurologique,3,"brûlure,irritation,douleur vive,nerfs"
Douleur piquante,"Douleur brève et localisée comme une piqûre, souvent liée à une lésion cutanée ou nerveuse.",général,2,"picotement,douleur aiguë,piqûre,irritation"
Douleur pelvienne cyclique,"Douleur qui revient à chaque cycle menstruel, souvent liée à une affection gynécologique.",gynécologique,3,"douleur menstruelle,cycle,bas-ventre,endométriose"
Douleur rectale,"Douleur ressentie au niveau du rectum, souvent liée à une infection ou à une hémorroïde.",digestif,3,"rectum,douleur à la selle,pression anale,inflammation"
Douleur urinaire,"Douleur ressentie pendant la miction, souvent liée à une infection urinaire.",urinaire,3,"miction douloureuse,brûlure,urines chaudes,infection"
Douleur thoracique gauche,"Douleur localisée à gauche de la poitrine, souvent suspecte d’origine cardiaque.",cardiaque,4,"douleur cardiaque,poitrine gauche,pression thoracique,urgence"
Douleur thoracique droite,"Douleur localisée à droite de la poitrine, souvent liée à une affection pulmonaire ou musculaire.",respiratoire,3,"douleur pulmonaire,poitrine droite,tension musculaire,respiration"
Douleur oculaire profonde,"Douleur ressentie à l’intérieur de l’œil, souvent liée à une infection ou à une pression intraoculaire.",ophtalmologique,4,"pression oculaire,douleur intense,glaucome,inflammation"
Douleur mammaire,"Douleur ressentie dans un ou les deux seins, souvent liée à des changements hormonaux ou à une infection.",gynécologique,2,"sein douloureux,sensibilité mammaire,inflammation,masse"
Douleur testiculaire,"Douleur ressentie dans les testicules, souvent liée à une infection ou à un traumatisme.",génital,3,"testicule douloureux,gonflement,fièvre,traumatisme"
Douleur à l’oreille,"Douleur ressentie dans dans ou autour de l’oreille, souvent liée à une infection ou à une inflammation.",ORL,2,"otalgie,oreille douloureuse,écoulement,fièvre"
Écoulement nasal,"Flux de liquide par le nez, souvent lié à une infection ou à une allergie.",ORL,1,"nez qui coule,rhinorrhée,liquide nasal,allergie"
Éternuements fréquents,"Expulsions d’air soudaines par le nez, souvent liées à une allergie ou une infection virale.",ORL,1,"éternuements,réaction allergique,poussière,irritation"
Perte d’odorat,"Diminution ou disparition de la capacité à percevoir les odeurs, souvent liée à une infection virale.",neurologique,2,"anosmie,nez bouché,perte sensorielle,infection"
Perte de goût,"Diminution ou disparition de la capacité à percevoir les saveurs, souvent liée à une infection virale.",neurologique,2,"agueusie,bouche insensible,perte sensorielle,infection"
